"symbol","date","open","high","low","close","adjclose","volume"
"AMD","12/30/2016",11.7,11.78,11.25,11.34,11.34,44095400
"AMD","12/29/2016",11.24,11.62,11.01,11.59,11.59,50147700
"AMD","12/28/2016",12.28,12.42,11.46,11.55,11.55,71254500
"AMD","12/27/2016",11.65,12.08,11.6,12.07,12.07,44336500
"AMD","12/23/2016",11.3,11.6,11.26,11.58,11.58,32216900
"AMD","12/22/2016",11.65,11.75,11.47,11.6,11.6,36450800
"AMD","12/21/2016",11.61,11.72,11.31,11.47,11.47,44814100
"AMD","12/20/2016",11.19,11.51,11.15,11.51,11.51,59314200
"AMD","12/19/2016",10.81,11,10.52,10.95,10.95,46085800
"AMD","12/16/2016",10.94,11.23,10.6,10.66,10.66,76990000
"AMD","12/15/2016",10.68,10.93,10.64,10.86,10.86,48871300
"AMD","12/14/2016",10.43,10.74,10.27,10.55,10.55,46968600
"AMD","12/13/2016",10.75,10.8,10.4,10.54,10.54,46967800
"AMD","12/12/2016",10.4,10.93,10.38,10.68,10.68,63342900
"AMD","12/09/2016",10.38,10.54,9.87,10.34,10.34,60600800
"AMD","12/08/2016",9.9,10.66,9.8,10.34,10.34,104613000
"AMD","12/07/2016",9.65,9.79,9.24,9.56,9.56,54897300
"AMD","12/06/2016",8.95,9.54,8.82,9.45,9.45,92242900
"AMD","12/05/2016",8.69,8.71,8.45,8.68,8.68,31410100
"AMD","12/02/2016",8.38,8.74,8.38,8.53,8.53,42398900
"AMD","12/01/2016",8.92,9.03,8.26,8.39,8.39,56682400
"AMD","11/30/2016",9.02,9.12,8.9,8.91,8.91,36511900
"AMD","11/29/2016",9,9.23,8.85,8.93,8.93,54831400
"AMD","11/28/2016",8.72,8.98,8.72,8.83,8.83,25907800
"AMD","11/25/2016",8.8,8.91,8.69,8.77,8.77,14214100
"AMD","11/23/2016",8.72,8.86,8.5,8.8,8.8,34583200
"AMD","11/22/2016",9.05,9.06,8.54,8.69,8.69,71312800
"AMD","11/21/2016",8.87,9.22,8.86,8.94,8.94,65595900
"AMD","11/18/2016",8.68,8.83,8.4,8.71,8.71,62336200
"AMD","11/17/2016",7.79,8.77,7.77,8.46,8.46,124235500
"AMD","11/16/2016",7.09,7.75,7.07,7.67,7.67,77955700
"AMD","11/15/2016",6.82,7.08,6.79,6.97,6.97,28909400
"AMD","11/14/2016",6.83,6.84,6.61,6.79,6.79,29566600
"AMD","11/11/2016",6.64,6.69,6.47,6.69,6.69,39492200
"AMD","11/10/2016",6.82,6.91,6.22,6.3,6.3,71749500
"AMD","11/09/2016",6.7,7.05,6.64,6.94,6.94,38479500
"AMD","11/08/2016",6.85,7.18,6.75,7,7,37601100
"AMD","11/07/2016",6.79,6.99,6.76,6.96,6.96,36999200
"AMD","11/04/2016",6.69,6.72,6.46,6.56,6.56,32215700
"AMD","11/03/2016",6.78,6.79,6.56,6.7,6.7,33673600
"AMD","11/02/2016",7.03,7.06,6.67,6.76,6.76,33852200
"AMD","11/01/2016",7.32,7.43,6.92,7.09,7.09,39906900
"AMD","10/31/2016",7.24,7.46,7.2,7.23,7.23,42345900
"AMD","10/28/2016",7.1,7.53,7.02,7.2,7.2,77261300
"AMD","10/27/2016",7.44,7.46,7.1,7.11,7.11,37804200
"AMD","10/26/2016",7.4,7.48,7.26,7.29,7.29,47619300
"AMD","10/25/2016",6.9,7.5,6.87,7.5,7.5,78862000
"AMD","10/24/2016",6.57,7.01,6.54,7.01,7.01,52998400
"AMD","10/21/2016",6.5,6.65,6.37,6.52,6.52,64243500
"AMD","10/20/2016",6.81,6.98,6.77,6.96,6.96,64607500
"AMD","10/19/2016",6.7,6.8,6.57,6.77,6.77,29420200
"AMD","10/18/2016",6.76,6.89,6.69,6.73,6.73,25094200
"AMD","10/17/2016",6.92,6.97,6.64,6.67,6.67,24261500
"AMD","10/14/2016",6.92,7.12,6.74,6.75,6.75,66934400
"AMD","10/13/2016",6.5,6.54,6.24,6.49,6.49,30401700
"AMD","10/12/2016",6.64,6.77,6.42,6.62,6.62,33592700
"AMD","10/11/2016",6.8,6.84,6.38,6.5,6.5,32510800
"AMD","10/10/2016",6.82,6.94,6.8,6.84,6.84,13764700
"AMD","10/07/2016",6.92,6.96,6.62,6.75,6.75,33059000
"AMD","10/06/2016",6.72,6.98,6.63,6.96,6.96,27059700
"AMD","10/05/2016",6.97,7.01,6.7,6.78,6.78,31235600
"AMD","10/04/2016",7,7.09,6.89,6.97,6.97,25770000
"AMD","10/03/2016",6.95,7.15,6.87,6.95,6.95,30456700
"AMD","09/30/2016",6.7,7.04,6.7,6.91,6.91,47453100
"AMD","09/29/2016",6.57,6.73,6.54,6.67,6.67,30746100
"AMD","09/28/2016",6.57,6.65,6.48,6.59,6.59,27878300
