InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
1,2,"2009/1/1","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",1.98
100,5,"2010/3/12","Klanova 9/506","Prague","","Czech Republic","14700",3.96
101,9,"2010/3/13","Sønder Boulevard 51","Copenhagen","","Denmark","1720",5.94
104,38,"2010/3/29","Barbarossastraße 19","Berlin","","Germany","10779",0.99
105,39,"2010/4/11","4; Rue Milton","Paris","","France","75009",1.98
106,41,"2010/4/11","11; Place Bellecour","Lyon","","France","69002",1.98
107,43,"2010/4/12","68; Rue Jouvence","Dijon","","France","21000",3.96
109,53,"2010/4/16","113 Lupus St","London","","United Kingdom","SW1V 3EN",8.91
11,52,"2009/2/6","202 Hoxton Street","London","","United Kingdom","N1 5LH",8.91
117,41,"2010/5/22","11; Place Bellecour","Lyon","","France","69002",13.86
119,56,"2010/6/12","307 Macacha Güemes","Buenos Aires","","Argentina","1106",1.98
12,2,"2009/2/11","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",13.86
120,58,"2010/6/12","12;Community Centre","Delhi","","India","110017",1.98
122,5,"2010/6/14","Klanova 9/506","Prague","","Czech Republic","14700",5.94
127,37,"2010/7/13","Berger Straße 10","Frankfurt","","Germany","60316",1.98
128,39,"2010/7/14","4; Rue Milton","Paris","","France","75009",3.96
129,43,"2010/7/15","68; Rue Jouvence","Dijon","","France","21000",5.94
130,49,"2010/7/18","Ordynacka 10","Warsaw","","Poland","00-358",8.91
131,58,"2010/7/23","12;Community Centre","Delhi","","India","110017",13.86
138,37,"2010/8/23","Berger Straße 10","Frankfurt","","Germany","60316",13.86
139,51,"2010/8/31","Celsiusg. 9","Stockholm","","Sweden","11230",0.99
140,52,"2010/9/13","202 Hoxton Street","London","","United Kingdom","N1 5LH",1.98
141,54,"2010/9/13","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",1.98
142,56,"2010/9/14","307 Macacha Güemes","Buenos Aires","","Argentina","1106",3.96
144,7,"2010/9/18","Rotenturmstraße 4; 1010 Innere Stadt","Vienne","","Austria","1010",8.91
150,39,"2010/10/16","4; Rue Milton","Paris","","France","75009",5.94
151,45,"2010/10/19","Erzsébet krt. 58.","Budapest","","Hungary","H-1073",8.91
152,54,"2010/10/24","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",13.86
153,9,"2010/11/1","Sønder Boulevard 51","Copenhagen","","Denmark","1720",0.99
162,50,"2010/12/15","C/ San Bernardo 85","Madrid","","Spain","28015",1.98
163,52,"2010/12/16","202 Hoxton Street","London","","United Kingdom","N1 5LH",3.96
164,56,"2010/12/17","307 Macacha Güemes","Buenos Aires","","Argentina","1106",5.94
172,41,"2011/1/20","11; Place Bellecour","Lyon","","France","69002",8.91
173,50,"2011/1/25","C/ San Bernardo 85","Madrid","","Spain","28015",13.86
174,5,"2011/2/2","Klanova 9/506","Prague","","Czech Republic","14700",0.99
175,6,"2011/2/15","Rilská 3174/6","Prague","","Czech Republic","14300",1.98
176,8,"2011/2/15","Grétrystraat 63","Brussels","","Belgium","1000",1.98
181,43,"2011/3/5","68; Rue Jouvence","Dijon","","France","21000",0.99
182,44,"2011/3/18","Porthaninkatu 9","Helsinki","","Finland","00530",1.98
185,52,"2011/3/20","202 Hoxton Street","London","","United Kingdom","N1 5LH",5.94
186,58,"2011/3/23","12;Community Centre","Delhi","","India","110017",8.91
187,8,"2011/3/28","Grétrystraat 63","Brussels","","Belgium","1000",13.86
19,40,"2009/3/14","8; Rue Hanovre","Paris","","France","75002",13.86
193,37,"2011/4/23","Berger Straße 10","Frankfurt","","Germany","60316",14.91
196,2,"2011/5/19","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",1.98
197,4,"2011/5/19","Ullevålsveien 14","Oslo","","Norway","0171",1.98
198,6,"2011/5/20","Rilská 3174/6","Prague","","Czech Republic","14300",3.96
2,4,"2009/1/2","Ullevålsveien 14","Oslo","","Norway","0171",3.96
20,54,"2009/3/22","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",0.99
202,39,"2011/6/6","4; Rue Milton","Paris","","France","75009",1.99
203,40,"2011/6/19","8; Rue Hanovre","Paris","","France","75002",2.98
204,42,"2011/6/19","9; Place Louis Barthou","Bordeaux","","France","33000",3.98
205,44,"2011/6/20","Porthaninkatu 9","Helsinki","","Finland","00530",7.96
207,54,"2011/6/24","110 Raeburn Pl","Edinburgh ","","United Kingdom","EH4 1HH",8.91
208,4,"2011/6/29","Ullevålsveien 14","Oslo","","Norway","0171",15.86
215,42,"2011/7/30","9; Place Louis Barthou","Bordeaux","","France","33000",13.86
216,56,"2011/8/7","307 Macacha Güemes","Buenos Aires","","Argentina","1106",0.99
218,59,"2011/8/20","3;Raj Bhavan Road","Bangalore","","India","560001",1.98
219,2,"2011/8/21","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",3.96
220,6,"2011/8/22","Rilská 3174/6","Prague","","Czech Republic","14300",5.94
224,36,"2011/9/20","Tauentzienstraße 8","Berlin","","Germany","10789",1.98
225,38,"2011/9/20","Barbarossastraße 19","Berlin","","Germany","10779",1.98
226,40,"2011/9/21","8; Rue Hanovre","Paris","","France","75002",3.96
227,44,"2011/9/22","Porthaninkatu 9","Helsinki","","Finland","00530",5.94
228,50,"2011/9/25","C/ San Bernardo 85","Madrid","","Spain","28015",8.91
229,59,"2011/9/30","3;Raj Bhavan Road","Bangalore","","India","560001",13.86
23,59,"2009/4/5","3;Raj Bhavan Road","Bangalore","","India","560001",3.96
236,38,"2011/10/31","Barbarossastraße 19","Berlin","","Germany","10779",13.86
237,52,"2011/11/8","202 Hoxton Street","London","","United Kingdom","N1 5LH",0.99
238,53,"2011/11/21","113 Lupus St","London","","United Kingdom","SW1V 3EN",1.98
24,4,"2009/4/6","Ullevålsveien 14","Oslo","","Norway","0171",5.94
241,2,"2011/11/23","Theodor-Heuss-Straße 34","Stuttgart","","Germany","70174",5.94
242,8,"2011/11/26","Grétrystraat 63","Brussels","","Belgium","1000",8.91
247,36,"2011/12/23","Tauentzienstraße 8","Berlin","","Germany","10789",3.96
248,40,"2011/12/24","8; Rue Hanovre","Paris","","France","75002",5.94
259,49,"2012/2/22","Ordynacka 10","Warsaw","","Poland","00-358",1.98
260,51,"2012/2/22","Celsiusg. 9","Stockholm","","Sweden","11230",1.98
261,53,"2012/2/23","113 Lupus St","London","","United Kingdom","SW1V 3EN",3.96
263,4,"2012/2/27","Ullevålsveien 14","Oslo","","Norway","0171",8.91
269,36,"2012/3/26","Tauentzienstraße 8","Berlin","","Germany","10789",5.94
270,42,"2012/3/29","9; Place Louis Barthou","Bordeaux","","France","33000",8.91
271,51,"2012/4/3","Celsiusg. 9","Stockholm","","Sweden","11230",13.86
